Date,GJupiter,GLuna,GMars,GMercury,GNeptune,GSaturn,GUranus,GVenus
05/30/1980,152.1775506,250.2498884,159.4967246,86.99702833,261.923435,170.5176428,233.1804208,92.33367732
05/31/1980,152.2737439,263.0960768,159.9232569,88.72911745,261.8971895,170.5314273,233.140795,92.10573537
06/01/1980,152.3723364,276.1459492,160.3540644,90.41440222,261.8708331,170.5468997,233.101458,91.8379391
06/02/1980,152.4733142,289.3868128,160.7890727,92.0522788,261.8443558,170.5640641,233.0624149,91.5309865
06/03/1980,152.57664,302.8085541,161.2281979,93.64225034,261.8177676,170.5829165,233.0236999,91.18587509
06/04/1980,152.6822962,316.406668,161.6713727,95.18386073,261.791095,170.6034518,232.9853156,90.80388693
06/05/1980,152.7902526,330.1820989,162.1185569,96.6766692,261.7643301,170.6256622,232.947283,90.38656554
06/06/1980,152.9004955,344.1373343,162.5696804,98.12018809,261.7374912,170.6495465,232.9096087,89.93577505
06/07/1980,153.0129964,358.2693231,163.0246933,99.51392333,261.7105872,170.675093,232.8723256,89.45365987
06/08/1980,153.127738,12.56074804,163.4835455,100.8572904,261.6836272,170.7023095,232.835431,88.94266888
06/09/1980,153.2446973,26.97215284,163.9461698,102.1496267,261.6566212,170.7311884,232.7989459,88.40549734
06/10/1980,153.3638332,41.43811652,164.4125338,103.3901754,261.6295779,170.7617061,232.7628914,87.84512985
06/11/1980,153.4851482,55.87021409,164.8825789,104.578068,261.6025169,170.7938773,232.7272834,87.26474578
06/12/1980,153.6085922,70.16732098,165.3562448,105.7123361,261.5754371,170.8276927,232.6921361,86.66777924
06/13/1980,153.7341384,84.23104553,165.8334762,106.7918753,261.5483571,170.8631302,232.6574588,86.05783395
06/14/1980,153.8617695,97.98158543,166.3142097,107.8154663,261.5212873,170.9001992,232.6232884,85.43864945
06/15/1980,153.9914515,111.3693759,166.7983842,108.7817709,261.4942365,170.9388683,232.5896065,84.8141138
06/16/1980,154.1231615,124.379861,167.2859396,109.6893423,261.4672138,170.9791468,232.5564643,84.18817379
06/17/1980,154.2568619,137.0320225,167.7767972,110.5366254,261.4402378,171.0210074,232.5238383,83.56479823
06/18/1980,154.3925352,149.3725319,168.2709057,111.3219886,261.4133087,171.0644513,232.491773,82.94793974
06/19/1980,154.5301365,161.4682504,168.7681935,112.0436914,261.3864448,171.1094644,232.4602659,82.34150486
06/20/1980,154.6696281,173.3987543,169.2686139,112.6999641,261.3596561,171.1560207,232.4293356,81.74923727
06/21/1980,154.8110017,185.2496287,169.7721003,113.2890017,261.332942,171.2041149,232.3989819,81.17475058
06/22/1980,154.9542251,197.1067572,170.2785909,113.8090029,261.3063217,171.2537394,232.3692286,80.62144819
06/23/1980,155.0992662,209.0513447,170.7880368,114.2582201,261.279813,171.3048669,232.3400823,80.09247522
06/24/1980,155.2460926,221.1552955,171.3003679,114.6349672,261.2534075,171.3574882,232.3115548,79.59074408
06/25/1980,155.394687,233.4769191,171.815565,114.9377511,261.2271229,171.4115865,232.2836646,79.11886696
06/26/1980,155.5450078,246.057229,172.3335535,115.1652711,261.2009692,171.4671566,232.2564026,78.67916691
06/27/1980,155.6970265,258.9172777,172.8542966,115.3165489,261.174965,171.5241818,232.2297989,78.27365598
06/28/1980,155.8507272,272.0575058,173.3777535,115.390962,261.149101,171.5826437,232.2038537,77.90404342
06/29/1980,156.0060888,285.4595817,173.9038881,115.3883974,261.1233957,171.6425334,232.1785736,77.57176117
06/30/1980,156.1630881,299.090855,174.4326551,115.3093041,261.0978585,171.7038471,232.153973,77.27791054
07/01/1980,156.3216871,312.9105634,174.9640312,115.1548346,261.0724893,171.7665534,232.1300611,77.02333467
07/02/1980,156.4818904,326.8762434,175.497993,114.9269257,261.0473153,171.8306526,232.1068447,76.80860816
